id|Nationality|Nationality_Region|Nationality_IncomeGroup|aff_country|aff_country_Region|aff_country_IncomeGroup|Gender|Citations|Productivity|Degree
ur.011473577161.75|US|North America|High income|United States|North America|High income|male|2792|1|8
ur.07642245635.27|EC|Latin America & Caribbean|Upper middle income|Spain|Europe & Central Asia|High income|female|2792|1|8
ur.011734146715.93|PL|Europe & Central Asia|High income|Canada|North America|High income|female|2792|1|8
ur.016600466267.93|CZ|Europe & Central Asia|High income|United States|North America|High income|male|2792|1|8
ur.014541531150.78|BR|Latin America & Caribbean|Upper middle income|United States|North America|High income||2792|1|8
ur.014524033432.73|CA|North America|High income|United States|North America|High income|male|2792|1|8
ur.011154250001.77|US|North America|High income|United States|North America|High income|male|2792|1|8
ur.01170113007.08|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|4907|2|5
ur.01231263274.67|MA|Middle East & North Africa|Lower middle income|Brazil|Latin America & Caribbean|Upper middle income||4728|2|12
ur.013401242107.03|CM|Sub-Saharan Africa|Lower middle income|United States|North America|High income|male|2775|1|1
ur.011251277227.36|PG|East Asia & Pacific|Lower middle income|Italy|Europe & Central Asia|High income|male|7642|3|5
ur.010657350512.16|IT|Europe & Central Asia|High income|Italy|Europe & Central Asia|High income|male|5280|2|5
ur.01205435531.41|FR|Europe & Central Asia|High income|France|Europe & Central Asia|High income||2765|1|3
ur.01124547064.70|BF|Sub-Saharan Africa|Low income|United States|North America|High income|male|5092|2|4
ur.014304143623.94|US|North America|High income|Chile|Latin America & Caribbean|High income|male|2762|1|2
ur.011274227005.27|NZ|East Asia & Pacific|High income|Chile|Latin America & Caribbean|High income|male|2762|1|2
ur.015030451247.76|AR|Latin America & Caribbean|Upper middle income|United Kingdom|Europe & Central Asia|High income|male|2762|1|2
ur.014024560605.43|US|North America|High income|United States|North America|High income|male|2758|1|0
ur.016042606472.36|PT|Europe & Central Asia|High income|United States|North America|High income||2750|1|3
ur.01061254536.75|IT|Europe & Central Asia|High income|United States|North America|High income||2750|1|3
ur.010216223411.87|CI|Sub-Saharan Africa|Lower middle income|United States|North America|High income||2750|1|3
ur.0767651144.84|NG|Sub-Saharan Africa|Lower middle income|United States|North America|High income|male|7622|3|12
ur.011701737377.60|TH|East Asia & Pacific|Upper middle income|China|East Asia & Pacific|Upper middle income||2750|1|4
ur.010037722645.48|UA|Europe & Central Asia|Lower middle income|Russia|Europe & Central Asia|Upper middle income|male|2750|1|4
ur.0651467734.25|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|2750|1|4
ur.01173260215.87|NZ|East Asia & Pacific|High income|United States|North America|High income|male|2750|1|4
ur.01162233364.22|IN|South Asia|Lower middle income|United States|North America|High income|male|2750|1|4
ur.0645334200.08|US|North America|High income|United States|North America|High income||2746|1|0
ur.01264370340.88|IL|Middle East & North Africa|High income|United States|North America|High income|male|2743|1|2
ur.07754211077.36|FR|Europe & Central Asia|High income|France|Europe & Central Asia|High income|male|2743|1|2
ur.013747656056.37|US|North America|High income|United States|North America|High income|male|2743|1|2
ur.012213142357.18|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|5256|2|9
ur.01364311533.43|NZ|East Asia & Pacific|High income|United States|North America|High income|male|5256|2|9
ur.014120721165.14|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|5256|2|9
ur.07713500415.65|JP|East Asia & Pacific|High income|United States|North America|High income|male|2741|1|3
ur.012574204165.91|GB|Europe & Central Asia|High income|United States|North America|High income||2741|1|3
ur.010014120655.82|BE|Europe & Central Asia|High income|United States|North America|High income|male|2741|1|3
ur.012637433543.55|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2739|1|0
ur.01252324057.82|NG|Sub-Saharan Africa|Lower middle income|Switzerland|Europe & Central Asia|High income|male|2736|1|1
ur.0726064757.26|CH|Europe & Central Asia|High income|Switzerland|Europe & Central Asia|High income|male|2736|1|1
ur.012226461373.22|US|North America|High income|United States|North America|High income|male|2728|1|0
ur.0732163070.98|CN|East Asia & Pacific|Upper middle income||||male|2725|1|5
ur.01337415047.52|SI|Europe & Central Asia|High income||||male|2725|1|5
ur.01122443461.80|KR|East Asia & Pacific|High income|South Korea|East Asia & Pacific|High income||2725|1|5
ur.01003205130.52|MQ|||United States|North America|High income|male|2723|1|0
ur.012263551123.18|RU|Europe & Central Asia|Upper middle income|Russia|Europe & Central Asia|Upper middle income||2718|1|0
ur.012555717435.05|US|North America|High income|United States|North America|High income|male|5082|2|2
ur.01126666327.30|DK|Europe & Central Asia|High income|United States|North America|High income|male|2717|1|1
ur.015400171204.03|IN|South Asia|Lower middle income|United States|North America|High income|male|2710|1|3
ur.01162512326.49||||United States|North America|High income|female|2710|1|3
ur.014625721316.47|IN|South Asia|Lower middle income|India|South Asia|Lower middle income|male|2710|1|3
